 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
96  ;* rho Per                          ;LP*;03 05 10.59385 +38 50 24.9943          ;10.60     ;3.39     
97  ;HD 196642                          ;*  ;20 37 23.5840930440 +38 19 43.199603724;9.2545    ;6.202    
98  ;HD 197226                          ;SB*;20 41 00.3612885494 +39 04 56.382671257;3.9900    ;6.497    
99  ;HD 200030                          ;*  ;20 59 24.6193752144 +42 19 28.069321296;3.8780    ;6.465    
100 ;HD 199892                          ;SB*;20 58 30.9539504088 +41 56 23.731780380;6.0229    ;6.156    
101 ;HD 200723                          ;PM*;21 03 52.1356812000 +41 37 41.428427844;9.5265    ;6.324    
102 ;* nu. Cyg                          ;** ;20 57 10.4187305125 +41 10 01.671428052;7.9568    ;3.94     
103 ;HD 202710                          ;SB*;21 16 17.1290595744 +44 14 17.631403764;3.2137    ;6.37     
104 ;* ksi Cyg                          ;SB*;21 04 55.8599363125 +43 55 40.272058234;2.8363    ;3.73     
105 ;* 68 Cyg                           ;SB*;21 18 27.1862219256 +43 56 45.399147864;1.4498    ;5.00     
106 ;* g Cyg                            ;PM*;21 29 26.9497663992 +46 32 26.107970964;15.2865   ;5.217    
107 ;HD 205349                          ;s*r;21 33 17.8846699368 +45 51 14.454491328;1.2215    ;6.209    
108 ;* rho Cyg                          ;PM*;21 33 58.8530450102 +45 35 30.620055459;25.9359   ;4.02     
109 ;V* V1339 Cyg                       ;LP*;21 42 08.3536971744 +45 45 56.511493308;4.1486    ;6.23     
110 ;V* W Cyg                           ;LP*;21 36 02.4974143922 +45 22 28.523281074;5.1760    ;5.38     
111 ;V* V365 Lac                        ;SB*;22 05 51.2185933968 +48 13 53.377700088;1.612     ;6.254    
112 ;HD 210289                          ;*  ;22 08 16.2836136312 +49 47 49.164427968;2.4939    ;6.400    
113 ;HD 211660                          ;*  ;22 17 28.3228450968 +49 07 37.043486760;3.5801    ;6.45     
114 ;NGC 7243                           ;OpC;22 15 09.1 +49 49 48                   ;1.116     ;6.4      
115 ;* alf Lac                          ;PM*;22 31 17.5014213452 +50 16 56.969913082;31.4943   ;3.77     
116 ;V* V350 Lac                        ;SB*;22 30 06.5036358504 +49 21 23.084756172;8.3679    ;6.42     
117 ;* 4 Lac                            ;*  ;22 24 30.9914928480 +49 28 35.010584652;1.2656    ;4.58     
118 ;* 9 Lac                            ;PM*;22 37 22.4179184437 +51 32 42.435680257;18.6783   ;4.63     
119 ;HD 214240                          ;SB*;22 35 53.3825016096 +50 04 14.837285784;1.7675    ;6.275    
120 ;HD 216523                          ;*  ;22 52 52.2489515544 +50 24 44.226537372;4.3839    ;6.463    
121 ;V* V424 Lac                        ;s*r;22 56 25.9983901008 +49 44 00.758688324;1.4018    ;4.94     
122 ;HD 216206                          ;*  ;22 50 10.0938802752 +50 40 36.908660604;1.9489    ;6.230    
123 ;HD 219290                          ;*  ;23 14 14.3818844736 +50 37 04.421676360;8.511     ;6.310    
124 ;HD 222748                          ;*  ;23 43 05.0561952792 +51 56 21.599574216;6.0364    ;6.44     
125 ;HD 223552                          ;PM*;23 50 22.2333872232 +51 37 17.979960252;24.4289   ;6.472    
126 ;V* R Cas                           ;Mi*;23 58 24.8682785040 +51 23 19.713029388;5.7423    ;4.80     
127 ;HD 2054                            ;SB*;00 25 06.4104962808 +53 02 48.414792012;5.0585    ;5.719    
128 ;HD 1976                            ;SB*;00 24 15.6540035976 +52 01 11.703208404;2.4621    ;5.580    
129 ;V* AO Cas                          ;SB*;00 17 43.0633133256 +51 25 59.116450728;0.7546    ;6.14     
130 ;HD 2774                            ;PM*;00 31 41.1571969176 +52 50 22.301154708;9.6922    ;5.596    
131 ;* nu. Cas                          ;V* ;00 48 50.0214949536 +50 58 05.394457956;9.1537    ;4.891    
132 ;V* V526 Cas                        ;dS*;00 50 57.3955676136 +51 30 28.923950448;14.6627   ;6.360    
133 ;HD 4881                            ;*  ;00 51 33.7906792056 +51 34 17.128100028;2.9855    ;6.220    
134 ;* ksi Cas                          ;SB*;00 42 03.8922075864 +50 30 45.120403944;2.9022    ;4.81     
135 ;HD 6028                            ;*  ;01 02 18.4697156064 +51 02 05.810860428;4.6611    ;6.490    
136 ;V* OP And                          ;RS*;01 36 27.2005869192 +48 43 22.000439676;6.339     ;6.22     
137 ;* ups Per                          ;PM*;01 37 59.5580239328 +48 37 41.563066970;18.5489   ;3.57     
138 ;HD 11884                           ;*  ;01 57 59.2356027912 +47 05 43.880137872;2.8396    ;6.450    
139 ;* 3 Per                            ;*  ;01 58 33.5059620456 +49 12 15.670560312;12.694    ;5.702    
140 ;HD 11031A                          ;** ;01 49 15.5309779446 +47 53 48.899697872;7.2863    ;6.46     
141 ;HD 13818                           ;PM*;02 15 57.7330336368 +47 48 42.982818120;7.4865    ;6.360    
142 ;* c And                            ;PM*;02 19 16.7969275675 +47 22 47.913234056;11.9531   ;5.310    
143 ;HD 14372                           ;*  ;02 20 41.5159199880 +47 18 38.885371596;2.9698    ;6.154    
144 ;HD 14213                           ;*  ;02 19 10.8243650664 +46 28 20.141072220;7.2162    ;6.220    
145 ;HD 17246                           ;** ;02 47 31.1546109384 +44 16 19.917517404;1.3999    ;6.47     
146 ;* 14 Per                           ;*  ;02 44 05.1600277584 +44 17 49.341411348;2.3511    ;5.435    
147 ;HD 18482                           ;V* ;02 59 39.8786231400 +41 01 58.585315800;4.5764    ;5.877    
148 ;HD 19066                           ;*  ;03 05 21.0104053320 +40 34 55.847112672;8.3243    ;6.05     
149 ;* ome Per                          ;*  ;03 11 17.3819765876 +39 36 41.691289838;10.5460   ;4.607    
150 ;HD 20283                           ;** ;03 17 11.45946 +40 28 58.6932          ;5.06      ;6.460    
151 ;* bet Per                          ;SB*;03 08 10.1324535 +40 57 20.328013      ;36.27     ;2.12     
152 ;HD 20346                           ;*  ;03 17 45.7545100344 +39 17 00.141698796;6.1804    ;5.967    
153 ;* gam Cyg                          ;V* ;20 22 13.7018357 +40 15 24.044963      ;1.78      ;2.23     
154 ;HD 194193                          ;*  ;20 22 45.2956089144 +41 01 33.645143784;3.3097    ;5.93     
155 ;NAME HD 193702AB                   ;** ;20 20 15.2178218890 +39 24 11.569865161;5.2288    ;6.33     
156 ;HD 197392                          ;*  ;20 41 56.5014626472 +41 43 00.748143012;2.7093    ;5.664    
157 ;HD 197139                          ;PM*;20 40 03.1592062992 +43 27 31.959372924;6.5338    ;5.965    
158 ;* 57 Cyg                           ;SB*;20 53 14.7587928897 +44 23 14.147866955;5.8088    ;4.77     
159 ;* 60 Cyg                           ;Be*;21 01 10.9277453472 +46 09 20.795190696;2.6621    ;5.432    
160 ;HD 199098                          ;V* ;20 53 18.5691518304 +45 10 54.050823876;3.67      ;5.462    
161 ;HD 199870                          ;SB*;20 58 19.4663810952 +44 28 18.140900268;14.495    ;5.547    
