 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
4873;HD 115488                          ;** ;13 17 29.8510032840 -00 40 33.865038804;14.6197   ;6.351    
4874;* tet Vir                          ;** ;13 09 56.9889385680 -05 32 20.414634792;11.1834   ;4.397    
4875;* g Vir                            ;PM*;13 08 32.4661100352 -08 59 03.776673768;9.2032    ;5.564    
4876;HD 114203                          ;PM*;13 09 14.2386162936 -09 32 17.153400876;7.4539    ;6.32     
4877;* 49 Vir                           ;*  ;13 07 53.8128711672 -10 44 25.471334544;11.1498   ;5.151    
4878;* 50 Vir                           ;V* ;13 09 45.2812131984 -10 19 45.622835976;4.8532    ;5.943    
4879;* 53 Vir                           ;PM*;13 12 03.5431874543 -16 11 54.970689063;29.9003   ;5.04     
4880;* 61 Vir                           ;PM*;13 18 24.3139864471 -18 18 40.297748582;117.1726  ;4.740    
4881;* 55 Vir                           ;PM*;13 14 10.8951509520 -19 55 51.404410380;26.5757   ;5.33     
4882;* 57 Vir                           ;PM*;13 15 58.7708690051 -19 56 35.161303899;26.6876   ;5.22     
4883;* psi Hya                          ;PM*;13 09 03.2659754016 -23 07 04.957919256;14.0296   ;4.934    
4884;* r Cen                            ;RG*;13 16 53.1318801144 -31 30 22.324588740;12.5974   ;5.110    
4885;HD 115050                          ;*  ;13 15 09.4578495840 -36 22 17.076768420;7.7994    ;6.167    
4886;HD 114613                          ;PM*;13 12 03.1842958709 -37 48 10.879928463;48.8691   ;4.85     
4887;HD 114474                          ;PM*;13 11 23.2158812856 -43 22 06.798085068;14.0788   ;5.231    
4888;HD 114873                          ;PM*;13 13 57.6803521080 -43 08 20.792551596;8.9752    ;6.147    
4889;HD 117261                          ;PM*;13 28 26.2414449696 +40 43 46.720036776;7.3711    ;6.490    
4890;* 23 CVn                           ;PM*;13 20 18.9510975912 +40 09 01.967513472;6.5359    ;5.60     
4891;HD 115810                          ;*  ;13 19 04.2512105808 +35 07 40.731791772;15.8677   ;6.02     
4892;V* CL CVn                          ;LP*;13 23 53.9296421232 +37 02 02.117208084;2.6013    ;6.14     
4893;HD 116706                          ;*  ;13 25 06.6781079208 +23 51 15.912465444;11.2467   ;5.745    
4894;* 70 Vir                           ;PM*;13 28 25.8085908881 +13 46 43.638308807;55.2511   ;4.970    
4895;HD 116594                          ;SB*;13 24 30.5458662792 +12 25 54.569326764;3.6247    ;6.440    
4896;* 71 Vir                           ;PM*;13 29 13.0005805560 +10 49 05.913091632;11.2146   ;5.646    
4897;* 64 Vir                           ;** ;13 22 09.7048864632 +05 09 17.115496380;15.1555   ;5.873    
4898;HD 116160                          ;PM*;13 21 41.6458462536 +02 05 14.060137272;16.2262   ;5.687    
4899;HD 116831                          ;PM*;13 26 11.4149726232 -01 11 32.902280340;12.8005   ;5.965    
4900;HD 117267                          ;PM*;13 29 14.9156636856 -01 21 51.938259372;6.3813    ;6.419    
4901;* 65 Vir                           ;*  ;13 23 18.8935109520 -04 55 27.941788128;4.0566    ;5.858    
4902;* 66 Vir                           ;PM*;13 24 33.2485660488 -05 09 50.404470804;37.4830   ;5.749    
4903;* i Vir                            ;PM*;13 26 43.1665407240 -12 42 27.586456056;6.6344    ;5.25     
4904;* alf Vir                          ;bC*;13 25 11.57937 -11 09 40.7501          ;13.06     ;0.97     
4905;* 69 Vir                           ;PM*;13 27 27.1640367264 -15 58 24.885623784;12.0127   ;4.750    
4906;* 63 Vir                           ;PM*;13 23 01.1146683912 -17 44 06.988406028;11.0383   ;5.354    
4907;HD 116061                          ;PM*;13 21 29.7697456440 -19 29 21.460941492;11.9778   ;6.21     
4908;HD 116429                          ;*  ;13 23 57.0828030720 -20 55 28.503724224;11.2954   ;6.49     
4909;* gam Hya                          ;SB*;13 18 55.2976891983 -23 10 17.450424894;25.5286   ;3.00     
4910;V* R Hya                           ;Mi*;13 29 42.7801586466 -23 16 52.751628992;6.7355    ;4.97     
4911;HD 117033                          ;*  ;13 28 01.8811900848 -26 24 08.049115224;2.735     ;6.49     
4912;HD 116278                          ;V* ;13 23 08.6321845680 -33 11 23.563801464;2.8493    ;6.21     
4913;* iot Cen                          ;PM*;13 20 35.8128156095 -36 42 44.296492410;56.0571   ;2.73     
4914;HD 116713                          ;Pe*;13 26 07.8002651304 -39 45 18.308993400;15.3353   ;5.09     
4915;HD 116873                          ;*  ;13 27 14.6595832488 -40 09 45.585333180;10.6729   ;6.405    
4916;HD 116835                          ;*  ;13 26 56.1163089072 -41 29 51.219711168;2.3846    ;5.656    
4917;HD 117710                          ;PM*;13 31 15.7663471680 +42 06 22.152472848;13.1045   ;6.065    
4918;HD 118156                          ;** ;13 34 21.8657532288 +38 47 21.346217448;15.2814   ;6.37     
4919;V* BH CVn                          ;RS*;13 34 47.8087660104 +37 10 56.691826860;21.3273   ;4.98     
4920;* 25 CVn                           ;** ;13 37 27.62782 +36 17 41.6337          ;16.42     ;4.82     
4921;* 25 CVn A                         ;PM*;13 37 27.6268608000 +36 17 41.632615356;17.7243   ;4.953    
4922;HD 119035                          ;PM*;13 40 15.5778600264 +31 00 43.328600784;7.037     ;6.20     
4923;HD 119081                          ;PM*;13 40 39.0776359512 +28 03 54.584821836;5.9268    ;6.18     
4924;HD 117876                          ;RG*;13 32 48.2138325552 +24 20 48.277563036;6.721     ;6.10     
4925;HD 118508                          ;V* ;13 36 59.0823272160 +24 36 47.868709572;5.9122    ;5.69     
4926;* 2 Boo                            ;*  ;13 41 02.3464437048 +22 29 44.773950840;9.46      ;5.58     
4927;* 1 Boo                            ;PM*;13 40 40.4692226520 +19 57 20.585922228;10.3308   ;5.76     
4928;HD 118839                          ;PM*;13 39 02.2844002704 +18 15 55.152331812;5.622     ;6.46     
4929;HD 118660                          ;*  ;13 38 07.8883267440 +14 18 06.932355120;14.2029   ;6.489    
4930;HD 118889                          ;** ;13 39 34.61613 +10 44 46.5827          ;16.67     ;5.58     
4931;HD 118266                          ;PM*;13 35 33.4254349056 +10 12 17.860838436;8.9014    ;6.486    
4932;HD 117404                          ;*  ;13 30 00.0808917576 +07 10 43.871338848;4.6462    ;6.167    
4933;* o Vir                            ;a2*;13 34 07.9312445507 +03 39 32.288960317;16.4943   ;4.94     
4934;* zet Vir                          ;PM*;13 34 41.5913587272 -00 35 44.939098032;43.7467   ;3.38     
4935;* l Vir                            ;PM*;13 31 57.8846531989 -06 15 20.943579009;6.9499    ;4.69     
4936;* 72 Vir                           ;V* ;13 30 25.7237418000 -06 28 12.957454488;18.1186   ;6.098    
4937;* 80 Vir                           ;PM*;13 35 31.2962831856 -05 23 46.288937688;9.7241    ;5.706    
4938;* h Vir                            ;PM*;13 32 58.0715920586 -10 09 53.995068424;11.6520   ;5.21     
4939;* y Vir                            ;** ;13 34 40.4501961 -13 12 51.571563      ;6.75      ;5.932    
4940;* 75 Vir                           ;PM*;13 32 51.6427709058 -15 21 46.848592268;6.5770    ;5.529    
4941;* 73 Vir                           ;dS*;13 32 02.8064947488 -18 43 43.960235592;12.0389   ;5.998    
4942;HD 117558                          ;PM*;13 31 33.1681265664 -28 06 45.852270588;10.6733   ;6.478    
4943;HD 117716                          ;PM*;13 32 35.8976110488 -28 41 33.963610020;14.7399   ;5.69     
4944;HD 118349A                         ;PM*;13 36 48.4534401984 -26 29 42.710523360;9.8093    ;5.78     
4945;HD 117718                          ;PM*;13 32 34.4663415408 -29 33 54.941764716;20.2649   ;6.436    
4946;HD 118646                          ;PM*;13 38 42.0709958256 -29 33 39.123093744;19.6131   ;5.810    
4947;HD 118010                          ;PM*;13 34 43.5758770776 -33 18 39.078592092;5.1373    ;6.462    
4948;HD 118319                          ;V* ;13 36 50.5708633872 -34 28 04.217360376;8.1836    ;6.476    
4949;HD 117597                          ;PM*;13 32 05.4258837048 -38 23 55.863359808;10.3885   ;6.148    
4950;* d Cen                            ;** ;13 31 02.6565951 -39 24 26.298992      ;3.60      ;3.88     
4951;V* V765 Cen                        ;LP?;13 39 40.8422916672 -39 44 51.314970120;2.9257    ;6.36     
4952;HD 118799                          ;PM*;13 39 48.5482477560 -40 03 06.146649432;6.8037    ;5.603    
4953;HD 119445                          ;PM*;13 42 28.8064320072 +41 40 27.425956548;4.6803    ;6.289    
4954;HD 120047                          ;PM*;13 46 13.5455873496 +41 05 19.480664184;19.2182   ;5.877    
4955;HD 120048                          ;PM*;13 46 19.0616824776 +38 30 13.044486168;8.7255    ;5.919    
4956;HD 120164                          ;PM*;13 46 59.7747544992 +38 32 33.705180240;10.9069   ;5.501    
4957;HD 120600                          ;SB*;13 49 44.9260076448 +36 37 58.182960360;15.3494   ;6.430    
4958;HD 119458                          ;SB*;13 42 43.4296862592 +34 59 20.474475072;5.9897    ;5.96     
4959;HD 120819                          ;PM*;13 51 09.2157227640 +34 39 51.833773656;4.0973    ;5.87     
4960;V* AW CVn                          ;LP?;13 51 47.4749903810 +34 26 39.265009533;6.2037    ;4.74     
4961;HD 120420                          ;*  ;13 48 38.7352176000 +31 11 24.744142248;10.9609   ;5.57     
4962;* 3 Boo                            ;SB*;13 46 43.3233661056 +25 42 08.054927604;10.5423   ;5.965    
4963;M 3                                ;GlC;13 42 11.62 +28 22 38.2                ;0.110     ;6.39     
4964;HD 119584                          ;PM*;13 43 45.1634846496 +22 42 01.529402832;4.6527    ;6.09     
4965;* e Boo                            ;SB*;13 49 42.8247690576 +21 15 50.764729320;4.7492    ;4.91     
4966;* ups Boo                          ;PM*;13 49 28.6412870007 +15 47 52.456719303;13.4228   ;4.07     
4967;* tau Boo                          ;Ro*;13 47 15.7381720026 +17 27 24.809555600;64.0470   ;4.49     
4968;HD 120934                          ;*  ;13 52 18.4064027184 +12 09 54.497118312;9.891     ;6.098    
4969;HD 119784                          ;PM*;13 45 13.4350696368 +10 19 31.105415784;8.1657    ;6.41     
4970;HD 120602                          ;*  ;13 50 24.6787096752 +05 29 49.996860540;6.1392    ;5.993    
4971;HD 119537                          ;PM*;13 43 54.2372759928 -05 29 56.172382476;7.8334    ;6.498    
4972;* m Vir                            ;PM*;13 41 36.7700844816 -08 42 10.729027692;5.4376    ;5.01     
4973;HD 120033                          ;** ;13 47 13.3925199528 -09 42 34.007985072;5.8968    ;6.049    
4974;* 83 Vir                           ;*  ;13 44 29.8268293824 -16 10 44.662210068;3.777     ;5.567    
4975;* 85 Vir                           ;*  ;13 45 35.0670398304 -15 46 02.887567500;10.4739   ;6.179    
4976;* 87 Vir                           ;PM*;13 47 25.3912914624 -17 51 35.418569076;5.1463    ;5.43     
4977;* 89 Vir                           ;PM*;13 49 52.2828951024 -18 08 03.009309756;14.1268   ;4.959    
4978;HD 119623                          ;PM*;13 44 45.6638403504 -25 30 03.362379696;5.2085    ;6.205    
4979;HD 120455                          ;PM*;13 50 06.5085407184 -29 04 52.764518496;9.5329    ;6.186    
4980;V* T Cen                           ;Mi*;13 41 45.5635339752 -33 35 50.560017864;2.4007    ;6.05     
4981;HD 120759                          ;PM*;13 52 00.9812162256 -31 37 08.992655652;19.5655   ;6.21     
4982;* i Cen                            ;SB*;13 45 41.2439386102 -33 02 37.381099823;51.9074   ;4.23     
4983;* g Cen                            ;LP*;13 49 26.7219319935 -34 27 02.784711526;15.8468   ;4.19     
4984;* z Cen                            ;Pu*;13 46 56.3517541416 -36 15 06.960051360;8.5328    ;5.147    
4985;HD 120457                          ;RG*;13 50 19.3960870248 -39 54 03.090417588;8.4249    ;6.431    
4986;HD 121197                          ;*  ;13 53 08.4363187176 +40 20 16.708668360;3.1117    ;6.479    
4987;HD 121682                          ;PM*;13 56 10.4597488344 +32 01 57.340912296;15.131    ;6.300    
4988;HD 121164                          ;** ;13 53 10.2817568232 +28 38 53.275498368;13.5993   ;5.909    
4989;* 11 Boo                           ;PM*;14 01 10.4807176224 +27 23 11.745150684;9.8333    ;6.221    
4990;* 9 Boo                            ;PM*;13 56 34.1810272752 +27 29 31.493189040;5.2113    ;5.000    
4991;* 10 Boo                           ;*  ;13 58 38.9229420984 +21 41 46.319545932;5.926     ;5.748    
4992;* eta Boo                          ;SB*;13 54 41.07892 +18 23 51.7946          ;87.75     ;2.680    
4993;* 7 Boo                            ;*  ;13 53 12.9300854664 +17 55 58.327270932;5.3058    ;5.709    
4994;HD 122443                          ;PM*;14 01 36.8103246600 +17 40 06.195014724;1.8553    ;6.384    
4995;HD 121980                          ;PM*;13 58 39.9070747488 +14 38 57.385659120;5.9242    ;5.999    
4996;HD 122742                          ;SB*;14 03 32.3409126166 +10 47 12.341888345;66.1469   ;6.268    
4997;HD 122365                          ;*  ;14 01 20.4264941184 +08 53 41.617038696;12.1757   ;5.973    
4998;HD 122744                          ;*  ;14 03 36.7661280240 +07 32 46.213386612;7.2977    ;6.239    
4999;HD 122563                          ;Pe*;14 02 31.8455084952 +09 41 09.944391876;3.0991    ;6.19     
5000;* 92 Vir                           ;*  ;13 56 27.8767450392 +01 03 02.089900836;11.3738   ;5.898    
5001;* tau Vir                          ;*  ;14 01 38.7935506885 +01 32 40.310188175;14.3831   ;4.237    
5002;* p Vir                            ;PM*;13 54 42.1451337000 -01 30 11.241795960;13.0011   ;5.159    
5003;HD 122106                          ;** ;13 59 49.2755873136 -03 32 59.285737320;11.6103   ;6.394    
5004;HD 122577                          ;PM*;14 03 04.0693241712 -17 22 01.251891408;6.7205    ;6.31     
5005;HD 121699                          ;*  ;13 57 27.7256207088 -23 01 21.472032144;5.2556    ;6.132    
5006;* 47 Hya                           ;PM*;13 58 31.1463625431 -24 58 20.108193627;8.6694    ;5.15     
5007;* 48 Hya                           ;PM*;14 00 00.1207098672 -25 00 37.456449156;16.7712   ;5.77     
5008;HD 121758                          ;*  ;13 57 58.8757740432 -25 59 53.090615544;5.0149    ;6.42     
5009;HD 121156                          ;RG*;13 54 16.6405572696 -28 34 10.615888776;15.6498   ;6.045    
5010;HD 122430                          ;*  ;14 02 22.7821310616 -27 25 47.192750976;6.6662    ;5.469    
5011;* h Cen                            ;SB*;13 53 12.5382897240 -31 55 39.430392240;4.8225    ;4.73     
5012;HD 121056                          ;RG*;13 53 52.0613118474 -35 18 51.691786471;15.6261   ;6.19     
5013;HD 122210                          ;*  ;14 01 19.0557127056 -40 13 18.975370584;3.9199    ;6.108    
5014;HD 124186                          ;*  ;14 11 15.1208225784 +32 17 45.212040312;8.0478    ;6.129    
5015;* d Boo                            ;SB*;14 10 23.9334932664 +25 05 30.037020972;27.484    ;4.83     
5016;HD 124713                          ;*  ;14 14 40.9629831792 +21 52 24.219024420;15.3517   ;6.377    
5017;HD 124678                          ;PM*;14 14 35.6060313336 +13 58 31.617692112;6.3796    ;6.44     
5018;* 15 Boo                           ;PM*;14 14 50.8487473560 +10 06 02.196736560;12.0509   ;5.32     
5019;HD 122797                          ;*  ;14 03 55.7553496848 +04 54 03.500253396;15.4287   ;6.238    
5020;V* FS Vir                          ;LP?;14 14 53.0200376136 +03 20 09.183163632;3.9788    ;6.45     
5021;V* CU Vir                          ;a2*;14 12 15.8055434051 +02 24 33.945178515;13.2281   ;5.02     
5022;HD 122910                          ;*  ;14 04 37.4271877872 +02 17 51.115045704;7.3375    ;6.270    
5023;HD 124115                          ;PM*;14 11 31.2032088168 +01 21 44.630928540;22.9569   ;6.408    
5024;HD 124425                          ;SB*;14 13 40.7900927904 -00 50 43.670606172;18.127    ;5.90     
5025;HD 122815                          ;*  ;14 04 14.5608095184 -05 22 53.107562604;10.0458   ;6.387    
5026;HD 124553                          ;PM*;14 14 21.3084172849 -05 56 51.792300385;24.3347   ;6.36     
5027;* 95 Vir                           ;PM*;14 06 42.8232925008 -09 18 48.654853632;17.5627   ;5.453    
5028;* 96 Vir                           ;** ;14 09 00.5931074184 -10 20 04.369949412;7.6275    ;6.460    
5029;* kap Vir                          ;PM*;14 12 53.7448526298 -10 16 25.332461336;11.5878   ;4.21     
5030;HD 122837                          ;*  ;14 04 26.9802480456 -14 58 18.133663008;7.6964    ;6.344    
5031;V* ET Vir                          ;LP*;14 10 50.4870574246 -16 18 07.310535267;5.8655    ;4.91     
5032;HD 122703                          ;*  ;14 03 53.0901035952 -22 25 17.753238336;11.7886   ;6.299    
5033;* pi. Hya                          ;PM*;14 06 22.2980035207 -26 40 56.501676257;30.8889   ;3.28     
5034;HD 124162                          ;*  ;14 12 24.5669674104 -24 21 48.076531416;4.6542    ;6.344    
5035;HD 124281                          ;*  ;14 13 13.2571427208 -26 36 44.316326808;5.6955    ;6.236    
5036;* 50 Hya                           ;*  ;14 12 46.0229491343 -27 15 40.268119429;14.6511   ;5.08     
5037;* tet Cen                          ;PM*;14 06 40.94752 -36 22 11.8371          ;55.45     ;2.05     
5038;HD 125642                          ;*  ;14 19 47.7385376760 +38 47 38.578659612;7.8920    ;6.310    
5039;HD 126597                          ;*  ;14 25 29.1519196968 +38 23 34.987906392;5.1491    ;6.280    
5040;* A Boo                            ;SB*;14 17 59.8173240168 +35 30 34.244293500;13.4788   ;4.796    
5041;HD 125658                          ;V* ;14 20 08.6645164128 +30 25 44.855517324;11.9629   ;6.445    
5042;HD 126307                          ;*  ;14 24 01.9805286792 +27 24 47.436935292;2.4679    ;6.41     
5043;* alf Boo                          ;RG*;14 15 39.67207 +19 10 56.6730          ;88.83     ;-0.05    
5044;V* CN Boo                          ;dS*;14 16 04.1396967072 +18 54 42.485224608;21.6479   ;5.957    
5045;V* CY Boo                          ;LP*;14 17 28.4515048992 +15 15 48.169784628;3.1682    ;5.80     
5046;* 18 Boo                           ;PM*;14 19 16.2797193624 +13 00 15.483901068;38.3064   ;5.396    
5047;BD+09 2882                         ;** ;14 23 22.69526 +08 26 47.8351          ;15.17     ;4.87     
5048;HD 126200                          ;EB*;14 24 00.8780861400 +08 14 38.283316044;7.9699    ;5.930    
5049;HD 126248                          ;** ;14 24 11.3448648320 +05 49 12.459056242;21.0624   ;5.094    
5050;HD 125489                          ;** ;14 19 40.9504184928 +00 23 03.603726852;15.9926   ;6.179    
5051;HD 126053                          ;PM*;14 23 15.2847745835 +01 14 29.641269692;57.2706   ;6.27     
5052;* ups Vir                          ;PM*;14 19 32.4797345232 -02 15 55.858700808;12.1137   ;5.14     
5053;HD 124931                          ;V* ;14 16 30.1661232336 -03 11 46.672144476;5.4739    ;6.141    
5054;* iot Vir                          ;PM*;14 16 00.8682760805 -06 00 01.969483331;45.4014   ;4.08     
5055;HD 124915                          ;*  ;14 16 21.3821876712 -06 37 17.554350000;16.2866   ;6.434    
5056;HD 125490                          ;PM*;14 19 53.1993312624 -06 44 46.174154496;6.1899    ;6.44     
5057;HD 124973                          ;*  ;14 16 48.7345264728 -08 53 04.111703772;5.388     ;6.47     
5058;* 2 Lib                            ;PM*;14 23 25.6249625592 -11 42 50.555330748;9.2004    ;6.214    
5059;* lam Vir                          ;SB*;14 19 06.5926692303 -13 22 15.928662088;18.4246   ;4.520    
5060;HD 126363                          ;PM*;14 25 17.5931341656 -13 21 11.387949012;6.8358    ;6.49     
5061;HD 124990                          ;** ;14 17 03.7900465176 -18 35 08.524980888;8.1104    ;6.219    
5062;HD 124683                          ;*  ;14 15 24.0861905500 -18 12 02.486331960;11.8452   ;5.532    
5063;HD 126218                          ;PM*;14 24 48.6248189580 -24 48 22.715551932;7.7472    ;5.332    
5064;HD 125276                          ;PM*;14 19 00.8956927577 -25 48 55.529829905;55.5900   ;5.87     
5065;HD 125279                          ;*  ;14 19 07.1578709736 -27 08 28.140281772;2.3426    ;6.34     
5066;HD 126400                          ;** ;14 25 47.7686676792 -26 51 08.073760932;12.6424   ;6.487    
5067;* k Hya                            ;PM*;14 23 05.7738751800 -27 45 14.462107776;19.0593   ;4.75     
5068;HD 124576                          ;*  ;14 15 01.2520665048 -29 16 54.862971312;6.5431    ;6.09     
5069;HD 125745                          ;Pu*;14 22 19.7195907480 -34 47 12.448132980;3.5360    ;5.568    
5070;HD 125283                          ;** ;14 19 23.8801055016 -37 00 10.464691536;14.4163   ;5.925    
5071;* psi Cen                          ;PM*;14 20 33.4323959808 -37 53 07.051432557;13.2026   ;4.034    
5072;HD 127065                          ;*  ;14 28 16.4396464752 +36 11 49.291460736;4.2107    ;6.200    
5073;V* CP Boo                          ;dS*;14 33 20.2631026200 +36 57 32.449157100;12.9759   ;6.390    
5074;HD 128198                          ;PM*;14 34 38.4997711464 +36 37 33.828598956;5.9435    ;5.999    
5075;HD 128093                          ;PM*;14 34 11.7069890328 +32 32 04.123577220;24.1788   ;6.306    
5076;HD 127304                          ;*  ;14 29 49.6705817016 +31 47 28.278712392;9.2332    ;6.050    
5077;* rho Boo                          ;PM*;14 31 49.7893292450 +30 22 17.171652275;19.8550   ;3.59     
5078;* sig Boo                          ;PM*;14 34 40.8173867232 +29 44 42.457673940;63.4679   ;4.47     
5079;HD 127726                          ;** ;14 32 20.2261358 +26 40 38.241332      ;13.58     ;6.00     
5080;V* R Boo                           ;Mi*;14 37 11.5761577632 +26 44 11.656214052;1.5204    ;6.20     
5081;HD 128402                          ;*  ;14 36 06.8726160960 +23 15 01.297175688;7.3498    ;6.370    
5082;* 26 Boo                           ;PM*;14 32 32.5421471304 +22 15 36.203742792;17.4453   ;5.897    
5083;* f Boo                            ;PM*;14 26 27.3650870400 +19 13 36.838844688;10.4374   ;5.394    
5084;HD 127337                          ;*  ;14 30 45.3903476736 +04 46 20.228857212;4.7639    ;6.007    
5085;HD 128563                          ;** ;14 37 28.4804771736 +02 16 38.064804240;11.0561   ;6.455    
5086;HD 127167                          ;*  ;14 29 50.5176536400 +00 49 44.151127500;13.3027   ;5.966    
5087;* phi Vir                          ;PM*;14 28 12.1389021744 -02 13 40.649015856;26.8792   ;4.840    
5088;* 104 Vir                          ;PM*;14 27 24.3846298704 -06 07 13.240152480;14.628    ;6.161    
5089;* 106 Vir                          ;PM*;14 28 41.7223108944 -06 54 01.897156080;6.8336    ;5.418    
5090;HD 128429                          ;PM*;14 36 59.7959185153 -12 18 19.068654858;37.1800   ;6.20     
5091;HD 127964                          ;*  ;14 34 50.7283695240 -20 26 21.776369280;5.0064    ;6.481    
5092;* l Hya                            ;** ;14 28 10.4272263008 -29 29 29.896774774;7.5222    ;4.97     
5093;HD 127624                          ;PM*;14 33 09.6550264320 -30 42 54.215777520;8.4421    ;6.12     
5094;HD 130084                          ;PM*;14 45 13.7117603376 +32 47 18.041993376;4.3175    ;6.28     
5095;* eps Boo B                        ;*  ;14 44 59.1497672913 +27 04 29.948119279;14.8826   ;4.801    
5096;* eps Boo                          ;PM*;14 44 59.2175581895 +27 04 27.200350832;13.8267   ;2.45     
5097;* 34 Boo                           ;LP*;14 43 25.3625454312 +26 31 40.272181810;5.5124    ;4.79     
5098;HD 129132                          ;SB*;14 40 21.8691547512 +21 58 33.121704540;10.0986   ;6.150    
5099;HD 129430                          ;** ;14 41 54.2378922624 +21 07 24.695284404;6.5664    ;6.400    
5100;HD 128750                          ;PM*;14 38 13.9875702624 +18 17 54.159797184;9.1943    ;5.910    
5101;HD 130025                          ;*  ;14 45 20.5816873008 +18 53 05.840684772;6.4057    ;6.145    
5102;* pi.01 Boo                        ;*  ;14 40 43.5589117488 +16 25 05.975961096;10.3357   ;4.893    
5103;* pi.02 Boo                        ;*  ;14 40 43.9257184848 +16 25 04.071486972;10.5019   ;5.761    
5104;* omi Boo                          ;PM*;14 45 14.4605418090 +16 57 51.395816318;12.6814   ;4.60     
5105;V* EK Boo                          ;LP?;14 46 05.9426993007 +15 07 54.411177125;5.1084    ;5.63     
5106;HD 129153                          ;PM*;14 40 42.3928801560 +13 32 03.562108152;19.3257   ;5.925    
5107;* zet Boo                          ;** ;14 41 08.95158 +13 43 41.8967          ;18.56     ;3.78     
5108;* 31 Boo                           ;V* ;14 41 38.7511938264 +08 09 42.352458552;6.6024    ;4.862    
5109;* 108 Vir                          ;*  ;14 45 30.2044637184 +00 43 02.180202816;5.8113    ;5.665    
5110;* 109 Vir                          ;PM*;14 46 14.9234473441 +01 53 34.381780831;24.2814   ;3.73     
5111;HD 129902                          ;PM*;14 45 11.7072695328 -01 25 03.108780372;3.9845    ;6.07     
5112;* mu. Vir                          ;PM*;14 43 03.6239867612 -05 39 29.524956308;52.1815   ;3.88     
5113;* 5 Lib                            ;*  ;14 45 57.7584171936 -15 27 34.362093384;5.7495    ;6.34     
5114;HD 129980                          ;** ;14 46 10.87977 -21 10 33.4621          ;24.24     ;6.43     
5115;HD 130157                          ;*  ;14 47 13.6499854233 -21 19 29.544326147;2.5995    ;6.034    
5116;HD 129944                          ;PM*;14 46 06.7708856400 -23 09 10.913286816;9.4416    ;5.803    
5117;* 4 Lib                            ;Be*;14 43 13.5512958192 -24 59 51.911632968;6.904     ;5.73     
5118;* 55 Hya                           ;*  ;14 47 22.5556927680 -25 37 27.359626548;5.9821    ;5.609    
5119;* 56 Hya                           ;*  ;14 47 44.8064191512 -26 05 15.001924020;10.1729   ;5.229    
5120;* c01 Cen                          ;PM*;14 43 39.4375747161 -35 10 25.206876063;14.5082   ;4.04     
5121;HD 128974                          ;*  ;14 41 01.3897990440 -36 08 05.492768820;4.7666    ;5.658    
5122;* c02 Cen                          ;*  ;14 44 59.2016391888 -35 11 30.583305636;14.2784   ;4.924    
5123;HD 132029                          ;PM*;14 55 58.5923495448 +32 18 00.224011584;9.4783    ;6.122    
5124;HD 130917                          ;*  ;14 49 58.3985221344 +28 36 56.993162868;9.7343    ;5.80     
5125;HD 130948                          ;BY*;14 50 15.8109853464 +23 54 42.634220112;54.9502   ;5.867    
5126;V* DE Boo                          ;RS*;14 53 23.7654730144 +19 09 10.072718521;85.9932   ;6.00     
5127;* ksi Boo A                        ;PM*;14 51 23.3884659504 +19 06 01.619801424;148.0695  ;4.675    
5128;* ksi Boo                          ;BY*;14 51 23.37993 +19 06 01.6994          ;148.98    ;4.593    
5129;HD 132146                          ;*  ;14 57 11.6778470784 +16 23 17.258057988;5.0704    ;5.715    
5130;HD 131473                          ;** ;14 53 23.34844 +15 42 18.5874          ;20.99     ;6.380    
5131;HD 131951                          ;*  ;14 56 13.2300928608 +14 26 46.540838544;5.2603    ;5.892    
5132;HD 132525                          ;*  ;14 59 23.1155063784 +04 34 03.938158704;5.0389    ;5.93     
5133;HD 130970                          ;*  ;14 51 00.0952698312 -00 15 26.981961012;6.0371    ;6.175    
5134;HD 130557                          ;*  ;14 48 54.0951176448 -00 50 51.577565208;6.5402    ;6.136    
5135;* 1 Ser                            ;PM*;14 57 33.2513485248 -00 10 03.402965280;10.128    ;5.512    
5136;* 11 Lib                           ;PM*;14 51 01.0720205236 -02 17 56.941059804;15.1361   ;4.94     
5137;* 16 Lib                           ;PM*;14 57 10.9988855472 -04 20 47.251261752;36.3454   ;4.49     
5138;HD 132375                          ;PM*;14 58 52.7816996822 -04 59 21.311934645;29.1484   ;6.08     
5139;* ksi02 Lib                        ;*  ;14 56 46.1150412384 -11 24 34.920108828;4.4918    ;5.450    
5140;* 18 Lib                           ;PM*;14 58 53.5813630608 -11 08 38.462393832;9.309     ;5.857    
5141;* ksi01 Lib                        ;PM*;14 54 22.8741152112 -11 53 54.061357524;9.867     ;5.788    
5142;* mu. Lib                          ;** ;14 49 19.05130 -14 08 56.4766          ;13.71     ;5.31     
5143;* alf01 Lib                        ;SB*;14 50 41.1718805688 -15 59 49.957540152;41.7742   ;5.16     
5144;* alf02 Lib                        ;SB*;14 50 52.71309 -16 02 30.3955          ;43.03     ;2.75     
5145;* 10 Lib                           ;*  ;14 51 51.3061433784 -18 21 19.176621264;3.0579    ;6.26     
5146;HD 131977                          ;BY*;14 57 28.0007918772 -21 24 55.727265310;169.8843  ;5.72     
5147;HD 130529                          ;*  ;14 49 18.7440828528 -24 15 05.288855400;3.112     ;5.692    
5148;* 12 Lib                           ;*  ;14 54 20.1285843312 -24 38 31.935367716;8.1903    ;5.266    
